1000, 0.021063
2000, 0.057234
3000, 0.114602
4000, 0.212799
5000, 0.322300
6000, 0.495279
7000, 0.620123
8000, 0.781815
9000, 1.012089
10000, 1.204729
11000, 1.555840
12000, 1.736005
13000, 2.016969
14000, 2.329917
15000, 2.672564
16000, 3.114201
17000, 3.488968
18000, 3.880716
19000, 4.440884
20000, 4.815535
21000, 5.338062
22000, 6.073242
23000, 6.493285
24000, 6.962549
25000, 7.505489
26000, 8.221547
27000, 8.803647
28000, 9.591941
29000, 10.209057
30000, 10.850291
31000, 11.487106
32000, 12.410820
33000, 13.368136
34000, 14.133704
35000, 15.148896
36000, 17.271992
37000, 16.893521
38000, 17.632934
39000, 18.439758
40000, 19.817597
41000, 20.735868
42000, 21.753866
43000, 23.056312
44000, 24.089262
45000, 24.895029
46000, 27.013546
47000, 28.669360
48000, 29.301852
49000, 30.823132
50000, 32.996627
51000, 34.144046
52000, 35.554210
53000, 38.019587
54000, 39.564140
55000, 41.895201
56000, 43.357663
57000, 45.987461
58000, 47.742791
59000, 50.528722
60000, 52.878788
61000, 55.890766
62000, 59.151855
63000, 63.693435
64000, 66.386498
65000, 71.335452
66000, 76.927892
67000, 81.112036
68000, 86.686603
69000, 88.745692
70000, 96.391439
71000, 96.524915
72000, 103.912570
73000, 104.418997
74000, 111.981577
75000, 112.471181
76000, 121.620272
77000, 123.618457
78000, 131.292670
79000, 132.535484
80000, 139.570704
81000, 140.609688
82000, 148.907033
83000, 150.293723
84000, 161.122277
85000, 160.811481
86000, 157.529193
87000, 172.197633
88000, 167.562980
89000, 182.724669
90000, 180.453028
91000, 194.617961
92000, 199.354083
93000, 205.625327
94000, 174.679320
95000, 227.651204
96000, 187.533124
97000, 238.602602
98000, 203.941940
99000, 252.176717
